タイトル,価格,販売数
[Exc+5 ]  Longines 7245 Chronograph Black Dial Quartz 38MM Men's Watch,392.9,1
[Near MINT] Reserved Longines 5220 Charleston Triple Calendar Round White Watch,490.0,1
[Near MINT] Vintage Longines 153 6709 Gold Dial 23mm Qz Ladies Watch From JAPAN,179.91,1
LONGINES MEN'S 31mm GOLD PLATED VINTAGE WATCH QUARTZ SWISS MADE F761,160.2,1
LONGINES 847.3 Men's Manual Wind Watch 17 Jewels 1970s Gold Dial Vintage Swiss,172.15,1
Longines Flagship Men's Watch  Working Condition from Japan,105.0,1
[Near MINT] LONGINES Grande Classique 7431 L156.4 Roman Quartz Men's Watch JAPAN,224.91,1
LONGINES L960.2 MEN'S VINTAGE GOLD PLATED WATCH QUARTZ SWISS MADE F785,135.0,1
[Near MINT] Longines L156.2 156 3277 32mm Gold Dial Date Quartz Men's Watch,199.99,1
Longines Men's Watch Silver Roman Numerals Dial with Three Hands and Date,399.99,1
LONGINES FLAGSHIP L161.4 MEN'S 30mm DATE VINTAGE WATCH SWISS QUARTZ F708,198.0,1
Rare Vintage Longines Conquest Calendar Ref.9007 Gold Automatic Men's Watch,750.0,1
[Near MINT] Longines L994.1 994 6184 33mm Gold Dial Date Automatic Men's Watch,499.99,1
Longines Watch Manual 27mm Women's Silver Dial Swiss Made Round No Box Vintage,209.0,1
Longines Oval Gold Quartz Watch 22mm Battery Replaced 2025 Working Cleaned Japan,238.0,1
[Exc+5-] Longines Conquest Ti VHP 174 4981 Titanium Quartz Watch From JAPAN,279.99,1
[Near MINT] Longines L150.2 150 7143 32mm White Roman Dial Quartz Men's Watch,199.99,1
[Near MINT] Longines Cal.L717.2 717 6033 33mm Gold Dial Quartz Men's Watch,179.99,1
Box & Paper [Near Mint] LONGINES Conquest V.H.P Gold Dial Men's Quartz Watch,225.0,1
Reserved Longines Watch Men's 31mm Automatic Silver Vintage Rectangle Swiss Made,200.0,1
[Near MINT] LONGINES Conquest V.H.P. 4018 L174.4 Silver Men Quartz Watch JAPAN,224.99,1
[N MINT] Vintage Longines Conquest 4010 Moon Phase Triple 32mm Qz Men's Watch,529.9,1
LONGINES CONQUEST DAY/DATE MEN'S WHITE DIAL VINTAGE WATCH SWISS QUARTZ F679,205.2,1
[Near Mint] Longines 150-7019 Quartz Men's Gold Watch From JAPAN Used Working,150.0,1
[Near MINT w/Box] Longines Admiral HF Cal.6942 Silver Hand-Winding Men's Watch,399.99,1
[Near Mint+++] LONGINES Conquest V.H.P VHP 4018 White Dial Men's Quartz Watch,249.0,1
*NEAR MINT* LONGINES L847.4 847 4154 Manual Winding Gold Tonneau Mens Watch JPN,259.9,1
[NEAR MINT] Longines L952.2 Square Black Dial Quartz Men's Watch From JAPAN W818,229.9,1
"""Near Mint+++"" Longines 153 0743 Women's Quartz Watch Grey Dial From JAPAN",179.99,1
Vintage LONGINES L847.4 Hand Manual Winding Silver Men's Watch Swiss Made,179.99,1
[Exc+5] LONGINES L.150.4 31mm Gold Dial Quartz Men's Watch  From JAPAN,159.99,1
Vintage [Near MINT] LONGINES 150.7017 Gold Dial Quartz Men's Watch JAPAN 18.5cm,192.0,1
LONGINES Vintage Flagship 153 3329 20mm Silver Dial Qz Women's Watch [ Used ],299.99,1
New Belt *NEAR MINT* Vintage LONGINES Grand Classic Quartz Mens 31mm Watch JAPAN,239.9,1
Longines Cal.L847.4 Gold Dial Hand-winding Men's Watch Vintage 30mm,198.0,1
Longines Manual Watch 847-4139 32mm Swiss From Japan 209 6252812,100.0,1
LONGINES Weams Ref.674.5251 Chronograph Day-Date Automatic Men's Watch Q#136680,979.3,1
[N MINT w/ Box & Paper] LONGINES Conquest 156 3277 Quartz Men's Watch from JAPAN,219.9,1
LONGINES Ultracron Date Silver Dial Automatic Men's Watch_878776,508.68,1
Vintage LONGINES Conquest 4937 Quartz White Dial Women's Watch Checked in Japan,195.0,1
Vintage Longines Blue Roman Dial Men's Watch - Manual Winding 33mm,185.0,1
【Exc+5 w/Box】 Vintage LONGINES 960 6232 Gold Quartz Womens Watch From Japan 5347,185.87,1
LONGINES L950.2 MEN'S 33mm DATE SILVER VINTAGE WATCH SWISS QUARTZ F792,178.2,1
[Exc+4] Longines Admiral Cal.431 35mm Silver Dial Date Automatic Men's Watch,449.99,1
Longines Conquest Date Watch Quartz Men,161.21,1
[Near MINT] Longines L150.2 150 6939 Octagon 26mm Gold Dial Quartz Men's Watch,209.9,1
New Belt & Batt Vintage Longines L150.2 150 6879 Gold Dial Quartz Men's Watch,159.99,1
LONGINES MEN'S VINTAGE GOLD PLATED WATCH QUARTZ SWISS MADE F740,149.4,1
Longines Watch Manual Ladies Vintage 21mm Silver Round Swiss Made,110.0,1
[Exc+5]  New Battery! Longines Conquest Quartz Date 32MM Men's Watch-Swiss Made,200.9,1
LONGINES CONQUEST Ti V.H.P L174.4 DATE MEN'S VINTAGE WATCH SWISS QUARTZ F671,205.2,1
Vintage ◆Working for AS-IS◆ LONGINES L846.4 Hand Manual Small Seconds Mens Watch,229.99,1
SWISS LONGINES CONQUEST cal.501 17Jewels Automatic.,766.8,1
▶[NEAR MINT] LONGINES L150.4 Gold Dial Square Men's Quartz Watch From JAPAN U11,159.99,1
[Exc+5] VTG!Longines Small Second 864.1095 White Dial Manual Winding Men's Watch,435.9,1
LONGINES QUARTZ CAL950.2 GOLG COLOR (FLAT TV SCREEN TYPE),170.0,1
LONGINES VHP Longines Perpetual Calendar Date Watch,387.6,1
[Near MINT] LONGINES Charleston White Dial 32mm Quartz Men's Watch from JAPAN,289.99,1
▶[N MINT] LONGINES L847.4 Square Gold Dial 32mm Men's Hand Winding Watch JP T765,249.99,1
【 EXC+3 】 LONGINES 1087 Cal.6902 34mm Gold Dial Vintage Manual Men's Watch,249.9,1
LONGINES L729.2 MEN'S 33mm DATE SILVER VINTAGE WATCH SWISS QUARTZ F728,178.2,1
[Near MINT] LONGINES L110.2 110 6455 23mm Gold Dial Quartz Women's Watch,189.99,1
LONGINES CONQUEST V.H.P L174.2 DATE MEN'S 33mm GOLD VINTAGE WATCH QUARTZ F651,218.0,1
Longines Square Quartz Women's Watch Gold GP Mesh Belt 21mm Case USED,183.17,1
Vintage LONGINES Conquest 4012 Gold V.H.P Quartz 26mm Women's Watch *Video,199.99,1
**Exc+5** LONGINES Presence L150.4 Quartz Gold Plated Swiss Made 32mm Mens Watch,179.99,1
New Batt ◆Vintage N MINT◆ Longines 150 7229 Gold Men's Quartz Watch L150.4 JAPAN,179.99,1
[Near MINT] Vintage LONGINES L150.4 30mm Gold Dial Quartz Men's Watch From JAPAN,169.99,1
"Longines Lindbergh Automatic Men's Watch, Vintage, Good Condition",1500.0,1
[Exc+5] Vintage LONGINES L150.4 31mm Gold Roman Dial Qz Men's Watch From JAPAN,169.99,1
[Exc+5] LONGINES Flagship 153 3329 20mm Silver Dial QZ Women's Watch Used F/S,223.25,1
Longines XL18 Men's Wristwatch Calendar Quartz cal.978.2 1980's 28.8mm,182.34,1
Rare! 1990's Longines planetarium Dial Moon Phase Quartz Unisex Watch,1228.0,1
"""Near Mint+++"" Longines 150 7050 Roman Quartz Gold Dial Men's Square Watch JAPAN",180.0,1
[Near MINT] Longines L541.2 38mm White Dial Date Chronograph Quartz Men's Watch,300.0,1
Longines Conquest Quartz Unisex Watch Used Working #27,201.0,1
【NEAR MINT】 Longines Conquest Moon Phase 4010 Gold Dial Quartz Men's Watch,569.99,1
New Battery Longines L150.4 150 3330 Quartz Silver Dial Men's Watch Swiss Made,183.0,1
[N Mint] Vintage Longines Gold Roman Dial Manual Wind Men's Watch,215.0,1
[Exc+5/Case] Longines Conquest Titanium Chronograph 4009 White QZ Men's Watch,479.9,1
【 EXC+5 】 LONGINES Flagship L150.2 3330 26mm Roman Silver Vintage QZ Men's Watch,199.9,1
LONGINES Flagship 153 3329 Romen Dial Square Quartz Men's Watch Vintage 26mm,95.76,1
【RESERVED】 LONGINES Flagship Cal.428 8416 30mm Silver Vintage Manual Mens Watch,280.0,1
[Near MINT] Vintage LONGINES 817 4335 Gold Oval Manual Winding Ladies Watch,199.9,1
[Exc+5] Longines Flagship 7291 Roman Numerals Quartz Ladies Watch From JAPAN,159.99,1
【 EXC+5 w/ Box 】 LONGINES L963.2 17mm Black Dial Gold Bezel Quartz Women's Watch,229.9,1
[Near Mint] LONGINES CONQUEST Ti DATE WOMAN's GRAY WATCH USED WORKING,150.1,1
[Exc+5] Longines Admiral 5 Five Star L509 17J Automatic Men's Swiss Made Watch,459.99,1
"LONGINES Quartz Analog Silver Black Women Watch New Battery,New Belt w-3010",90.0,1
Vintage 【MINT】 Longines  140 7450 Gold 26mm Square  Men Unisex Watch from Japan,269.99,1
[Near MINT] Vintage Longines 153.6748 Champagne 21mm QZ Women's From JAPAN W557,149.9,1
Vintage Longines Ladies Watch Flagship Quartz Date 25589537 Gold Dial 24mm,137.08,1
[EXC+5 w/Box] Longines 978 6398 Vintage Gold Quartz 28mm Tank Mens Watch JAPAN,219.99,1
[Near MINT] Longines Présence L150.4 32mm Gold Dial Qz Men's Vintage Watch JAPAN,185.9,1
LONGINES Ladies’ Hand-Wound Watch - Gold-Tone - Functional - Vintage Elegance,140.0,1
[Exc+5] Longines Flagship Watch Manual 19mm Women's White Dial Used Working,160.0,1
"LONGINES PRESENCE L160.2 MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ ""EUC"" F824",187.2,1
Longines Conquest 4010 Triple Calendar Moon Phase 32 mm Quartz Watch White Dial,505.99,1
▶VINTAGE LONGINES PRESENCE MEN'S GOLD PLATED WATCH SWISS QUARTZ 156 6801,229.99,1
LONGINES LADIES QUARTZ H88423  LADIES WATCH WORKING CONDITION,60.0,1
◆Vintage N MINT◆ LONGINES Cal L645.1 Roman Dial Men's Automatic Watch From JAPAN,349.99,1
◆Vintage N MINT+◆ LONGINES L847.4 Hand Manual Winding Roman Dial Men Watch JAPAN,278.99,1
Longines Octagon Quartz Watch Silver Dial Swiss Made 16 5cm Battery Dead Vintage,158.5,1
[Near MINT] Longines Men's 150th Anniversary Roman Ivory Dial Quartz Watch,349.99,1
[NEAR MINT] Vintage LONGINES L150.4 Gold Dial Men's Quartz Watch From JAPAN U67,159.99,1
Longines Automatic 24 Men's Vintage Watch Cal. 290 Used Appraised,225.0,1
LONGINES L978.2 MEN'S 30mm GOLD DIAL VINTAGE WATCH QUARTZ F784,160.2,1
[Near MINT] Longines L150.2 150 3416 32mm Silver Dial Quartz Men's Watch,209.0,1
LONGINES L952.2 MEN'S 34mm GOLD DIAL VINTAGE WATCH QUARTZ F805,152.19,1
[Near MINT] Longines L156.2 156 6778 33mm White Dial Date Quartz Men's Watch,178.99,1
w/ Case [Near Mint] LONGINES Conquest V.H.P VHP White Dial Men's Quartz Watch,170.0,1
New Batt [N MINT] Vintage LONGINES L150.4 Quartz Gold Dial 30mm Mens Watch JAPAN,189.99,1
*NEAR MINT* Vintage LONGINES Presence L150.4 33mm Gold Date Quartz Mens Watch,219.9,1
LONGINES Cal.5601 Hand-wound Ladies Watch Silver Dial Roman 17 Jewels 2 Hands Ge,199.99,1
Longines Gold Quartz,243.58,1
LONGINES Admiral Cal.6651 Date Silver Dial Automatic Men's Watch_791290,320.0,1
[Near MINT] Vintage Longines Cal. L961.2 Gold Dial Quartz Womens Watch JAPAN,249.99,1
New Battery Longines Conquest L161.2 Quartz Gold Dial Men's Watch Swiss,179.99,1
Vintage [Exc+5] Longines 700 Gold Plated Quartz Women's Watch From JAPAN,79.9,1
Chinese Dial Vintage Longines 962 6623 Gold Women's Quartz Watch From JAPAN,206.99,1
Vintage [Exc+5] Longines Presence 150 7112 Square Quartz Men's Swiss Made Watch,174.99,1
New Battery Longines Conquest L161.2 Men's Quartz Watch Swiss Made 4940 14,179.99,1
Vintage◆N MINT◆ LONGINES L846.4 Roman Dial Hand Manual Small Seconds Mens Watch,325.49,1
【N MINT】 Vintage LONGINES 761 6619 Gold Dial 27mm Square Qz Men Watch From Japan,219.9,1
Longines Admiral Automatic Watch 35mm Ladeis Watch Set From Japan 165 6262330,180.0,1
[Near MINT]  Vintage LONGINES 6091 960 Gold Dial Quartz Men's Watch From JAPAN,199.99,1
*EXC+5* Longines Flagship Chronograph 7281  Panda dial Quartz QZ Men's Watch,474.99,1
*NEAR MINT* Vintage LONGINES L761.2 7027 Gold Tank Square Mens Quartz Watch JPN,199.9,1
[Near MINT] LONGINES 160 3361 Gold Dial 26mm Unisex Watch From JAPAN,199.99,1
New Belt [Near MINT] Vintage LONGINES Cal L645.1 Gold Men's Automatic Watch 3617,399.99,1
LONGINES MENS 156 7231 QUARTZ  MEN'S WATCH WORKING CONDITION POOR DIAL,70.0,1
Vintage [N MINT/wBOX] LONGINES 150 Swiss 6773 Gold Qz Men Watch From JAPAN Y512,425.0,1
[Near MINT] LONGINES Conquest 161.4940 Silver Gold Dial Quartz Men's Watch JAPAN,199.99,1
Box Longines Presence L150.4 150 6799 32mm Gold Dial Quartz Men Watch New Bttery,179.99,1
Vintage 1950's LONGINES Automatic cal.22AS SWISS MADE Men's watch #1809,370.0,1
Longines Watch Men's 32mm Quartz Vintage Gold Swiss Made Round,167.2,1
[Excellent 5] LONGINES Quartz 730-4172 Analog Square Men's Watch From JAPAN,130.0,1
[Near MINT w/Case] Longines Conquest Cal.L174.2 Silver Dial Date Qz Men's Watch,289.99,1
【Near MINT w/Box】 LONGINES Flagship L847.4 36mm Vintage Hand Winding Men's Watch,299.9,1
LONGINES Conquest Watches 4010 Moon phase WhiteDial Stainless Steel Quartz...,555.0,1
LONGINES Plaisance Watches L4.7202 gold/Silver WhiteDial Stainless Steel/P...,522.0,1
LONGINES CONQUEST L163.2 DAY/DATE MEN'S VINTAGE WATCH SWISS QUARTZ F760,229.14,1
LONGINES 7446 L161.4 MEN'S DATE VINTAGE SILVER GOLD WATCH SWISS QUARTZ F732,192.24,1
LONGINES Small seconds white Dial Hand Winding Men's Watch_850423,320.0,1
LONGINES/LONGINES Dolce Vita Quartz QZ Rhinestone White  Silver Ladies Silver,491.46,1
"Longines Dolce Vita Women's Rectangular Popular Longines,11101",431.0,1
Longines Grand Classic L4 635 2 Gold Dial Quartz Unisex Watch Used Working #66,280.0,1
LONGINES Conquest Quartz Wristwatch No Battery,180.0,1
New Battery La Grande Classique de Longines L4 209 4 Quartz Women Watch Swiss,299.99,1
[Exc+5 w/ Case] Longines Cal.L729.2 729 4230 32mm Gold Dial Quartz Men's Watch,199.99,1
Longines Dolce Vita Women s Watch,441.69,1
【Exc+5】 Vintage LONGINES 978 6387 Gold 30mm Square Quartz Men's Watch From Japan,189.9,1
Rare! Longines 150 Anniversary Gold Plated Tank Rectangle Men's Quartz Watch,360.0,1
Newbattery Vintage Longines wristwatch 7179 Ladies Quartz Gold Made In Swiss,149.99,1
[Exc+5] Longines Cal 717 K18  Quartz Women's Watch From JAPAN,400.0,1
【N MINT】 Vintage LONGINES 150 6881 Quartz Square White Dial Men Watch From Japan,189.9,1
[Near MINT] Vintage Longines 156 7292 Textured Gold Dial Date Quartz Men's Watch,259.99,1
[N MINT] Longines L817.4 Rectangle Ladies Manual Hand Winding Watch  From JAPAN,145.19,1
[Near Mint] LONGINES CONQUEST DATE WOMAN's GRAY WATCH USED WORKING JAPAN,131.1,1
[Near MINT] Longines Presence 156 7240 Date Gold Dial 34mm Mens Watch From JAPAN,224.91,1
[Near MINT] LONGINES Cal. L847.4 847 1067 Swiss Made Hand Winding Men's Watch,259.9,1
Vintage [Exc+5] Longines 717 1140 Grand Classic 32mm Men's Quartz Watch JAPAN,159.9,1
[Near MINT] LONGINES Charleston 5226 L176.2 24mm Roman Gold Quartz Women's watch,299.99,1
[Near MINT] Longines Conquest Ti Titan V.H.P. VHP 4026 Black Gold Qz Men's Watch,319.99,1
"""Exc+5"" Longines Flagship Hand Square Silver Watch Hand Winding Men's From JAPAN",235.0,1
LONGINES Conquest vintage Date Silver Dial Automatic Men's Watch D#139223,374.25,1
LONGINES Conquest V.H.P. Quartz 4018 Two Tone Stainless Watch White Dial Date,198.0,1
【NEAR MINT+++】 LONGINES 153 4975 Conquest Vintage Two Tone Women's Quartz Japan,120.0,1
Longines Conquest Gray Dial Quartz Unisex Watch Used Working w/Box #18,219.0,1
Longines Conquest Gray Dial Quartz Unisex Watch Used Working #00,125.0,1
Rare! 1982 Longines L976.2 Gold 150 anniversary Quartz Men's Watch 32mm Vintage,360.0,1
Vintage LONGINES QUARTZ 950 SWISS 4468 Date Gold Black Mens Watch case 34.7mm,209.99,1
LONGINES FERRARI MEN QUARTZ WATCH ( WHITE DIAL COLOR ).,350.0,1
LONGINES Admiral 5 Star Date vintage Silver Dial Automatic Men's Watch_874093,432.0,1
LONGINES square Gold Analog Quartz Men's Watch Working Battery Replaced,83.2,1
Vintage [N-MINT] LONGINES ADMIRAL Chronometer 2358.1 L633.1 Automatic Men Watch,480.0,1
LONGINES Classic H86423 Women's Quartz Watch Gold Plating New Band Swiss #1695,120.8,1
【N MINT】 Vintage LONGINES Presence 150 7112 Square Quartz Men's Watch From Japan,199.9,1
used Longines Ladies Gold Quartz Adjustable Length 20334,245.0,1
Vintage [N MINT] LONGINES FLAGSHIP L647.3 17J Hand Winding Men Watch from JAPAN,249.9,1
[Exc+5] Vintage Longines L176.2 Small Second Men's Gold Dial Quarts Watch,237.49,1
*NEAR MINT* Vintage LONGINES Grand Classic Quartz 31mm Mens Watch from JAPAN,229.0,1
[Near MINT] Vintage Longines 960 3248 21mm Silver Dial Square Quartz Women's,269.99,1
New Battery [Exc+5] Longines Cal. 974.2 975 6504 Quartz Men's Swiss Made Watch,179.99,1
LONGINES Admiral 5 Star Vintage date Silver Dial Automatic Men's Watch_875796,378.0,1
[Near MINT] LONGINES 629 1663 Gold Dial 33mm AUTOMATIC Men's Swiss Made Watch,349.99,1
Longines Dolce Vita Women'S Watch,460.35,1
[Exc+5] LONGINES 761 4957 Square 27mm Gold Dial Quartz Swiss Made Men's Watch,139.9,1
Vintage [Exc+5] Longines V.H.P. 173 7406 Gold Dial Quartz Men's Swiss Made Watch,159.9,1
【N MINT】 Vintage LONGINES 978 6378 Gold 26mm Octagon Quartz Men Watch From Japan,219.9,1
Longines Flagship 7281 Quartz Chronograph White Dial 38MM Men's Watch,382.0,1
[MINT] Vintage Longines L153.2 Quartz Silver Dial Square Women Watch JAPAN,149.99,1
"Vintage ""Exc+++++"" LONGINES ULTRA CHRON Date Gold Automatic Men's Watch JAPAN",799.99,1
Vintage [Near  MINT] Longines 153 3327 Square Gold Qz Women's Watch From JAPAN,174.0,1
◆Vintage N MINT◆ LONGINES L847.4 Hand Manual Winding 3644 Gold Men's 29mm Watch,259.99,1
LONGINES Admiral 5 Star Date cal.6652 Silver Dial Automatic Men's Watch_881416,423.3,1
[EXC+5] Vintage LONGINES L156.4 Date Gold Stripe Dial Men's Quartz Watch JPN U77,159.99,1
Vintage LONGINES Admiral 5 Five Star Silver 6651 25J Automatic 35mm Men's Watch,429.99,1
[Near Mint In Box ] LONGINES Women's Manual Vintage Watch Swiss #1746,128.4,1
Vintage [Near MINT] LONGINES L847.3 Gold Hand Winding 33mm Men's Watch JAPAN,245.99,1
[Exc+5] Longines Charleston Triple Date Moonphase Quartz Men's Watch-Swiss Made,628.9,1
⏯ [NEAR MINT] LONGINES FLAGSHIP L156.4 Quartz Gold Dial Men's Watch From JAPAN,239.99,1
Longines Conquest Quartz Watch 161-4940 31mm From Japan 165 6268173,76.26,1
LONGINES Vintage Date cal.345 Silver Dial Automatic Men's Watch_872981,400.0,1
LONGINES Admiral 5 Star Cal.505 Automatic Watch 35mm Overhauled Vintage Used,550.0,1
[Near MINT]  Vintage Longines 161 6608 Quartz 31mm Mens Watch Gold Roman  w/ Box,247.41,1
◆Working As-Is◆ Vintage Longines 1193 Cal 528 Tank Roman Hand Manual Men's Watch,189.99,1
Vintage[Near MINT] Longines 23mm 153 6771 Gold Dial Quartz womens  Watch JAPAN,178.99,1
[Near MINT] LONGINES Charleston White Dial 32mm Quartz Men's Watch Used Working,285.0,1
Full Set **NEAR MINT** LONGINES Quantx 140.6452 Quartz Gold Dial 29mm Mens Watch,249.99,1
[NEW Battery] LONGINES L161.2 Gold 33mm Quartz Men's Watch From JAPAN,229.99,1
[MINT] Longines L978.2 Quartz Gold Dial SWISS MADE Mens Vintage Watch From JAPAN,199.99,1
LONGINES CONQUEST L163.2 DAY/DATE MEN'S WHITE VINTAGE WATCH SWISS QUARTZ F754,214.2,1
LONGINES L978.2 MEN'S VINTAGE GOLD PLATED WATCH QUARTZ SWISS MADE F747,169.29,1
Vintage Longines Silver Dial Hand-Winding Date Men's Watch From JAPAN,235.0,1
LONGINES Admiral 5 Star Cal.505 Automatic Watch 35mm Overhauled Used,660.0,1
*EXC+5 w/Box* LONGINES Conquest V.H.P VHP Gold Dial Quartz Watch,200.0,1
[Near MINT+++] LONGINES Conquest V.H.P. VHP 4018 Gray Dial Men's Quartz Watch,249.99,1
LONGINES L156.4 MEN'S GOLD PLATED WHITE DATE VINTAGE WATCH SWISS QUARTZ F881,196.2,1
Longines Watch Ladies Automatic 20mm Vintage Silver Round Swiss Made,102.7,1
Longines Watch Quartz Square Gold Mens 26mm Vintage Swiss Made,150.0,1
Longines Manual Watch Cal.L847.4 30mm Swiss From Japan 236 6272018,60.0,1
[Near MINT] LONGINES Conquest 4022 Day Date L163.2 Gold Men's Quartz Watch JAPAN,349.99,1
LONGINES Admiral 5 Star L636.5 Day-Date Cal.2836-2 Automatic Men's Watch_864112,480.0,1
[Exc+5] Longines 541 7245 Cal.L541.2 Chronograph Quartz 38mm Men's Swiss Watch,429.99,1
[Exc+5] LONGINES Conquest Ti V.H.P. VHP 4026 Gray Dial Men's Quartz Watch,186.0,1
[Near MINT] Longines Cal.L960.2 960 3248 21mm Silver Dial Quartz Women's Watch,269.99,1
⏯ [Excellent+5 in Box] LONGINES Presence White Dial Quartz Mens Watch From JAPAN,194.99,1
Longines Hand-Wound Pocket Watch Vintage Used Working Condition,122.58,1
longines Moon phase & 3 boyfriends & Chrongraph white watch men TO179086,2623.0,1
[Near MINT] Longines Gold Dial 19mm Quartz Women's Watch From JAPAN,179.99,1
[Near MINT] Vintage LONGINES L150.2 33mm Gold Dial Quartz Men's Watch From JAPAN,159.99,1
Longines Conquest Perpetual Calendar 4024 White Men's Quartz Watch [ Used ],285.0,1
Vintage Longines 15 Jewels 20444 188 Hand Winding Pocket Watch Chain :,125.0,1
New Batt [N MINT] Vintage Longines 150.7019 Gold 30mm Quartz Men's Watch JAPAN,185.99,1
"""NEAR MINT+++"" LONGINES Conquest 174 4976 V.H.P VHP White Dial Mens Quartz Watch",265.0,1
Longines Vintage 80s Men's Gold Square Watch Working Used,260.0,1
Longines 25605622 Flagship Watch From Japan operational,254.0,1
[Near MINT] LONGINES 645 4120 White Silver 34mm Automatic Men's Watch From JAPAN,339.99,1
Longines Evidenza Tonneau Chronograph Men's Automatic Watch w/Box from Japan,1325.0,1
LONGINES FLAGSHIP Cal.428 HAND-WINDING GOLD MEN'S VINTAGE WATCH SWISS MADE F868,214.2,1
[Exc+5] Vintage Longines 817 4283 Women's Manual Winding Watch Gold 20mm Square,160.91,1
longines Sympathy Gold GP  TO205635,951.0,1
[Near Mint w/Box] LONGINES Presence 150 7112 Square Quartz Men's Watch Used F/S,210.0,1
Vintage [Exc+5]  Longines L150.4 31mm Gold Dial Quartz Men's Watch From JAPAN,180.48,1
Used Vintage Longines Presence 150 7229 Gold Dial Quartz Men's From JAPAN,100.0,1
[NEAR MINT] Longines L156.2 7644 156 Silver Dial Quartz Mens Vintage Watch JAPAN,199.99,1
Vintage [Near MINT] Longines L817.4 23mm Gold Dial Manual women's Watch JAPAN,154.99,1
[Exc+5] LONGINES CONQUEST Ti L161.2 Date Gray Swiss Quartz Mens Watch Japan,149.99,1
Vintage [ Near MINT ] LONGINES 6862-160 Champagne Dial Gold Wattch 16.0cm,179.99,1
Longines Manual Watch 17.873.788 33mm Swiss From Japan 165 6276829,43.0,1
[NEAR MINT] LONGINES L633.1 Gold Automatic Date Mens Vintage Watch From JAPAN,369.99,1
Vintage ◆Exc+4◆ LONGINES L847.3 Roman Dial Gold Men's Hand Manual 33mm Watch,179.99,1
Longines Column wheel single push piece chronograph watch men TO154710,1997.0,1
[EXC+5] LONGINES Grande Classique L156.4 7431 Quartz Roman Vintage Watch Used JP,167.0,1
[Near MINT] Vintage Longines 150 7019 Gold Dial 29mm Quartz Men's Watch JAPAN,180.99,1
[NEAR MINT] Vintage LONGINES L847.4 Hand Manual Winding Silver Men's Watch JAPAN,249.99,1
【N MINT】 Vintage LONGINES 150 3318 Gold Roman Dial Quartz Men's Watch From Japan,199.9,1
Longines Ultra Chron Chronometer Date Box Vintage Automatic Mens Watch Auth,880.0,1
Longines Conquest Automatic Watch Face Only Working,319.0,1
[Exc+5] Longines two tone Silver dial Men’s watch XL 18  From JAPAN,150.0,1
OH [Near MINT] Longines L847.4 33mm Silver Dial Hand-Winding Men's Watch,199.0,1
[Near MINT] Longines Admiral Five Star Silver Dial Day/Date Automatic Mens Watch,480.99,1
Reserved Longines Opposition L36174 Watch Men's Quartz 35mm Vintage Black Round,180.0,1
[Near MINT] LONGINES L962.2 6668 Gold Dial Tank Shape Quartz Men's Watch,179.99,1
LONGINES Classic Combi Quartz Date Gold Silver Women Watch New Battery w-4080,175.0,1
"""EUC"" LONGINES CONQUEST Ti V.H.P L174.4 MEN'S VINTAGE WATCH SWISS QUARTZ F899",223.2,1
Vintage [Exc+4] Longines MZ5712 Swiss 0961 Gold Quartz Women From JAPAN W409,150.0,1
Rare [Near MINT] Longines 994.4184 Roman Dial Black Automatic Mens From JAPAN,550.0,1
[Near MINT] Longines Cal.523 832 1193 24mm Gold Dial Hand-Winding Men's Watch,269.99,1
[EXC+5] LONGINES L960.2 Gold Dial Quartz Mens Vintage Watch From JAPAN,139.99,1
Longines Flagship Watch Quartz Men's Vintage 32mm Gold Date Round Swiss Made,214.08,1
Case [Near MINT] Longines 150 SWISS 7054 Gold Dial Qz Men's Watch From JAPAN,209.9,1
[MINT] Longines L847.4 Gold Dial Hand Winding Mens Vintage Watch From JAPAN,259.99,1
▶New battery[NEAR MINT] LONGINES L150.2 White Dial Roman Men's Qz Watch JP T888,199.99,1
LONGINES L847.4 HAND-WINDING GOLD MEN'S VINTAGE WATCH SWISS MADE F853,205.2,1
Longines Conquest Watch Ladies 23mm Vintage Quartz Round Swiss Made Date,135.2,1
Box [N MINT] Vintage Longines 847 4255 Square Roman Dial Hand-Winding Mens Watch,299.99,1
Vintage Longines Ultra Chron Blue Dial Men's Automatic watch 35mm,348.0,1
New Battery【 MINT w/Box】Longines Grand Classic L4 635 2 Gold Dial Quartz Watch,319.99,1
⏯ [NEAR MINT] LONGINES La Grande Classique L5 636.3 White Dial Quartz Mens Watch,234.99,1
LONGINES Cal. L156.4 Quartz Silver Dial Two-Tone Watch Gold Bezel Swiss Made,150.0,1
Longines Vintage Manual Wind Men's Watch Antique Retro 18090993 Used,160.0,1
Longines Tonneau Grand Classic Watch Black Leather QZ Used From Japan,472.14,1
Serviced SWISS LONGINES CONQUEST  Cal.L633.5  25Jewels Automatic.,1095.57,1
LONGINES Men's Vintage Watch Gold Dial 30mm Quartz New Leather Band New Battery,169.1,1
LONGINES Admiral 5 Star vintage Date Cal.505 Automatic Men's Watch D#139203,387.6,1
[Near MINT] Longines Conquest 4020 Quartz Men's Vintage 33mm Watch From JAPAN,229.99,1
Vintage [N MINT w/ Case] Longines White Dial Hand Winding Men's Watch From JAPAN,299.9,1
LONGINES L847.4 HAND-WINDING GOLD MEN'S VINTAGE WATCH SWISS MADE F915,177.84,1
